Addis Ababa University,Addis Ababa
Addis Ababa Insitute of Technology,Addis Ababa
Jimma University,Jimma
Bahir Dar University,Bahir Dar
Hawassa University,Awasa
Arba Minch University,Arba Minch
University of Gondar,Gondar
Adama Science and Technology University,Adama 
Haramaya University,Haramaya
Ambo University,Ambo
Debre Berhan University,Debre Berhan
Ethiopian Civil Service University,Addis Ababa
Addis Ababa Science and Technology University,Addis Ababa
Wolkite University,Welkite 
Debre Markos University,Debre Markos
Jigjiga University,Jigjiga
Rift Valley University,Addis Ababa
Wollo University,  Dessie
Adigrat University,Adigrat
Dire Dawa University,Dire Dawa
Aksum University,Aksum
Wachamo University,Hosaena
Madda Walabu University,Bale Robe
Debre Tabor University,Gondar
Semera University,Semera
Woldia University,Woldiya
Mizan Tepi University,Mizan
Mettu University,Metu
Unity University,Addis Ababa 
Oromia State University,Ziway
Bule Hora University,Bule Hora
Assosa University,Assosa
Wolaita Sodo University,Sodo 
Dilla University,Dilla
Wollega University,Nekemte
Mekelle Institute of Technology,Mekelle
Mekelle University,Mekelle 